년월, 한국인남 , 한국인여 , 외국인남 , 외국인여 , 세대수 , 세대당인구 , 데이터기준일자
2015.08,"262,221","255,745","2,996","2,059","208,875",2.48,2018-06-30
2015.09,"262,240","255,837","3,061","2,073","209,234",2.48,2018-06-30
2015.1,"262,364","256,080","3,055","2,081","209,601",2.47,2018-06-30
2015.11,"263,130","257,030","3,031","2,087","210,595",2.47,2018-06-30
2015.12,"262,814","256,770","3,109","1,941","210,690",2.47,2018-06-30
2016.01,"262,630","256,614","2,981","2,046","210,798",2.46,2018-06-30
2016.02,"262,440","256,462","2,966","2,042","211,035",2.46,2018-06-30
2016.03,"262,209","256,184","2,963","2,073","211,156",2.46,2018-06-30
2016.04,"261,973","256,179","2,978","2,097","211,237",2.45,2018-06-30
2016.05,"261,918","256,072","2,964","2,082","211,417",2.45,2018-06-30
2016.06,"261,907","256,140","2,994","2,043","211,492",2.45,2018-06-30
2016.07,"261,879","256,157","3,016","2,040","211,708",2.45,2018-06-30
2016.08,"261,697","256,077","3,021","2,062","211,808",2.44,2018-06-30
2016.09,"261,675","256,069","3,086","2,083","211,852",2.44,2018-06-30
2016.1,"261,502","256,011","3,086","2,099","211,947",2.44,2018-06-30
2016.11,"261,342","255,895","3,178","2,162","212,082",2.44,2018-06-30
2016.12,"261,105","255,670","3,130","2,125","212,095",2.44,2018-06-30
2017.01,"260,917","255,580","3,097","2,099","212,206",2.43,2018-06-30
2017.02,"260,785","255,209","3,114","2,139","212,479",2.43,2018-06-30
2017.03,"260,430","254,987","3,098","2,145","212,571",2.42,2018-06-30
2017.04,"260,330","254,925","3,092","2,141","212,743",2.42,2018-06-30
2017.05,"260,181","254,827","3,107","2,151","212,840",2.42,2018-06-30
2017.06,"260,076","254,793","3,161","2,131","212,975",2.42,2018-06-30
2017.07,"259,933","254,676","3,201","2,147","213,079",2.42,2018-06-30
2017.08,"259,782","254,518","3,238","2,170","213,301",2.41,2018-06-30
2017.09,"259,662","254,505","3,290","2,202","213,450",2.41,2018-06-30
2017.1,"259,639","254,484","3,248","2,176","213,600",2.41,2018-06-30
2017.11,"259,626","254,501","3,273","2,181","213,767",2.41,2018-06-30
2017.12,"259,491","254,341","3,250","2,134","214,012",2.4,2018-06-30
2018.01,"259,167","254,082","3,258","2,155","214,121",2.4,2018-06-30
2018.02,"258,822","253,628","3,291","2,202","214,287",2.39,2018-06-30
2018.03,"258,604","253,206","3,284","2,180","214,385",2.39,2018-06-30
2018.04,"258,452","253,067","3,258","2,184","214,676",2.38,2018-06-30
2018.05,"258,361","252,937","3,250","2,189","214,905",2.38,2018-06-30
2018.06,"258,329","252,859","3,320","2,187","215,116",2.38,2018-06-30
